evidence_block,dataset,method,checkpoint_or_weights,selection,metadata,input_policy,detector,evaluation_artifact,status
controlled_detection,IVCNZ,RMR-Net,runs/trc_final_rmrnet_pothole_30ep/rcadnet_epoch_028.pth,mean validation mAP50 over four degradations; global epoch 28 of 30; SHA256 3C6A1A8E582639FADE7C5CAE9CBB301E3F2987D600C06584ADACB14C1AB538DD,synthetic generator parameters,direct restored view,runs/detect/runs/yolo11s_v26/pothole_clean_80ep/weights/best.pt,experiments/trc_final_30ep/pothole_test_rmrnet_selected.csv,AUDITED_30_EPOCH_CORPUS
controlled_detection,PCM,RMR-Net,runs/trc_final_rmrnet_pcm_30ep/rcadnet_epoch_028.pth,mean validation mAP50 over four degradations; global epoch 28 of 30; resumed after global epoch 14 with optimizer restart; SHA256 E580D2BF0BB8CC3319AFBCCA3B3D1CB96EF340667497F445B6685C2EBBE7EEC7,synthetic generator parameters,direct restored view,runs/detect/runs/yolo11s_v26/pcm_clean_80ep/weights/best.pt,experiments/trc_final_30ep/pcm_test_rmrnet_selected.csv,AUDITED_30_EPOCH_CORPUS
controlled_baselines,IVCNZ,Degraded/DFPIR/DeMoE/NAFNet-road,weights/demoe/DeMoE.pt and documented baseline checkpoints,official checkpoint or road-training protocol; no test selection,none or scenario-family for DeMoE-scenario,direct view,runs/detect/runs/yolo11s_v26/pothole_clean_80ep/weights/best.pt,experiments/fresh_final/pothole_yolo11s.csv,AUDITED
controlled_baselines,PCM,Degraded/DFPIR/DeMoE/NAFNet-road,weights/demoe/DeMoE.pt and documented baseline checkpoints,official checkpoint or road-training protocol; no test selection,none or scenario-family for DeMoE-scenario,direct view,runs/detect/runs/yolo11s_v26/pcm_clean_80ep/weights/best.pt,experiments/fresh_final/pcm_yolo11s.csv,AUDITED
controlled_crack,PCM,RMR-Net,runs/trc_final_rmrnet_pcm_30ep/rcadnet_epoch_028.pth,same global-epoch-28 checkpoint as controlled PCM table,synthetic generator parameters,direct restored view,runs/detect/runs/yolo11s_v26/pcm_clean_80ep/weights/best.pt,experiments/trc_final_30ep/pcm_test_rmrnet_selected_per_class.csv,AUDITED_30_EPOCH_CORPUS
metadata_controls,IVCNZ,RMR-Net,metadata-central validation-selected checkpoints,validation mAP50 only,image-only/aligned/noisy/counterfactual,direct restored view,frozen IVCNZ YOLO11s,experiments/metadata_central_final_20260714/metadata_controls_summary.csv,AUDITED_SEPARATE_STUDY
telemetry_restoration,KITTI,RMR-Net metadata and image-only,KITTI sequence-trained checkpoints,held-out drive; no test selection,real OXTS plus declared exposure,direct restored view,not applicable,paper_automation_in_construction_rmrnet/tables/table_kitti_realmeta.tex,AUDITED_CONTROLLED_INTERVENTION
field_direct,Sony ILX-LR1 field set,RMR-Net and baselines,documented restored-image folders,validation-calibrated policy where applicable,EXIF/pose treated as context not physical blur metadata,direct single view,YOLO26s RDD-FRDC distilled checkpoint,experiments/major_revision_evidence_20260715/ilx_direct_single_view_metrics.csv,AUDITED_PILOT
field_two_view,Sony ILX-LR1 field set,Raw plus each restorer,documented restored-image folders,identical pooling and duplicate-removal rules,none for fusion decision,raw plus restored detector views,YOLO26s RDD-FRDC distilled checkpoint,experiments/major_revision_evidence_20260715/ilx_fair_two_view_metrics.csv,AUDITED_PILOT
field_fixed_budget,Sony ILX-LR1 field set,Raw plus each restorer,same as field_two_view,descriptive cap at 96 highest-confidence predictions,none,raw plus restored detector views,YOLO26s RDD-FRDC distilled checkpoint,experiments/major_revision_evidence_20260715/ilx_fixed_96_prediction_budget.csv,AUDITED_PILOT
field_uncertainty,Sony ILX-LR1 field set,Raw versus raw plus RMR-Net,same as field_two_view,5000 image-level paired bootstrap resamples; seed 2026,none,raw plus restored detector views,YOLO26s RDD-FRDC distilled checkpoint,experiments/major_revision_evidence_20260715/ilx_raw_vs_rmr_paired_bootstrap.csv,AUDITED_PILOT
sequential_ablation,PCM defocus,RMR-Net variants,runs/major_revision_sequential_ablation_20260715,validation mAP50 for each trained row; output eta validation-only,synthetic generator parameters,direct or validation-selected residual policy,runs/detect/runs/yolo11s_v26/pcm_clean_80ep/weights/best.pt,experiments/major_revision_sequential_ablation_20260715/ablation_metrics.csv,AUDITED_COMPLETE
detector_transfer,IVCNZ/PCM,RMR-Net,controlled no-active-contour checkpoints,held-out audit only,synthetic generator parameters,direct restored view,independently trained YOLOv8n,experiments/no_active_contour_fullrun/*_yolov8n_cross_detector.csv,AUDITED_SECONDARY
